City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,sarupathar,26.1984,93.8094,24.93,97,99,1.39,IN,1691617711
247,kalmunai,7.4167,81.8167,26.33,81,100,2.64,LK,1691617711
248,madaoua,14.073,5.96,28.66,63,58,3.15,NE,1691617712
249,margate,51.3813,1.3862,16.6,77,0,1.34,GB,1691617712
250,adi keyh,14.8444,39.3772,17.73,68,71,1.5,ER,1691617712
251,vila franca do campo,37.7167,-25.4333,24.23,95,100,4.46,PT,1691617589
252,east london,-33.0153,27.9116,16.95,80,50,7.42,ZA,1691617713
253,mabaruma,8.2,-59.7833,25.52,92,100,2.71,GY,1691617713
254,gao,16.6362,1.637,32.41,47,54,3.73,ML,1691617714
255,tamanrasset,22.785,5.5228,27.95,30,90,2.57,DZ,1691617714
256,maragogi,-9.0122,-35.2225,24.0,76,6,4.85,BR,1691617634
257,kataba,13.9833,44.3833,20.93,49,100,1.99,YE,1691617715
258,tyukhtet,56.5389,89.3011,11.39,92,75,1.9,RU,1691617715
259,iwanai,42.9744,140.5089,25.76,93,59,2.48,JP,1691617716
260,porbandar,21.6422,69.6093,26.85,83,100,8.19,IN,1691617524
261,caleta de carquin,-11.0925,-77.6267,20.76,73,31,5.21,PE,1691617716
262,twon-brass,4.3151,6.2418,25.39,85,84,5.67,NG,1691617717
263,hunucma,21.0167,-89.8667,31.55,58,34,4.76,MX,1691617717
264,kita,13.0349,-9.4895,27.82,71,81,1.92,ML,1691617717
265,kourou,5.1552,-52.6478,29.03,84,12,4.55,GF,1691617444
266,kimbe,-5.5502,150.1429,26.17,76,43,5.4,PG,1691617718
267,lodwar,3.1191,35.5973,30.09,38,42,5.17,KE,1691617718
268,lagoa,39.05,-27.9833,23.2,83,100,6.12,PT,1691617475
269,las lomas,8.4333,-82.4,31.67,64,40,4.47,PA,1691617719
270,avarua,-21.2078,-159.775,25.03,69,75,7.72,CK,1691617488
271,lebu,-37.6167,-73.65,12.07,95,100,8.56,CL,1691617720
272,santaluz,-11.2558,-39.3747,21.98,73,70,5.2,BR,1691617720
273,namibe,-15.1961,12.1522,17.35,88,66,3.36,AO,1691617720
274,erdenet,49.0333,104.0833,13.81,97,5,1.52,MN,1691617721
275,afonso claudio,-20.0742,-41.1239,19.86,85,95,1.68,BR,1691617721
276,domoni,-12.2569,44.5319,23.77,81,57,4.32,KM,1691617721
277,lospalos,-8.5186,127.0025,19.91,94,51,1.8,TL,1691617722
278,viedma,-40.8135,-62.9967,16.12,33,97,6.89,AR,1691617722
279,emerald,-23.5333,148.1667,14.49,72,0,2.02,AU,1691617438
280,aracati,-4.5617,-37.7697,26.18,78,64,6.02,BR,1691617723
281,selkirk,50.1436,-96.8845,22.08,71,70,5.45,CA,1691617628
282,vilyuysk,63.7553,121.6247,15.41,56,1,3.52,RU,1691617724
283,gamboula,4.1178,15.1393,20.13,98,87,1.22,CF,1691617724
284,inarajan village,13.2736,144.7484,26.54,95,100,7.91,GU,1691617724
285,saint-joseph,-21.3667,55.6167,19.21,76,19,2.89,RE,1691617725
286,terme,41.2092,36.9739,22.96,84,98,3.25,TR,1691617725
287,port lincoln,-34.7333,135.8667,10.62,72,53,3.61,AU,1691617726
288,hamilton,39.1834,-84.5333,27.1,80,75,5.14,US,1691617490
289,santa maria,-29.6842,-53.8069,14.61,94,100,3.09,BR,1691617727
290,touros,-5.1989,-35.4608,24.89,80,56,7.59,BR,1691617497
291,ardakan,32.31,54.0175,29.68,19,0,3.06,IR,1691617457
292,tvoroyri,61.5556,-6.8111,10.1,79,33,4.61,FO,1691617444
293,alofi,-19.0595,-169.9187,26.94,89,75,3.09,NU,1691617664
294,polyarnyy,69.1989,33.4478,18.4,74,0,2.81,RU,1691617728
295,richards bay,-28.783,32.0377,19.04,72,100,1.58,ZA,1691617635
296,farah,32.5,62.5,26.83,21,1,2.3,AF,1691617729
297,crane,31.3974,-102.3501,40.85,13,1,2.44,US,1691617729
298,nageswari,25.9688,89.693,26.28,91,98,1.61,BD,1691617730
299,firuzabad,28.8438,52.5707,29.25,31,97,2.52,IR,1691617489
300,rio grande,-32.035,-52.0986,17.06,92,100,12.0,BR,1691617605
301,la'ie,21.6477,-157.9253,30.98,66,55,9.9,US,1691617729
302,bonthe,7.5264,-12.505,24.99,89,100,6.27,SL,1691617520
303,jaen,38.0,-3.5,33.29,29,6,2.15,ES,1691617731
304,great falls,47.5002,-111.3008,30.25,26,0,8.75,US,1691617630
305,san antonio de pale,-1.4014,5.6325,23.67,82,89,5.58,GQ,1691617443
306,guatrache,-37.6678,-63.5302,14.21,43,100,6.27,AR,1691617732
307,ponta delgada,37.7333,-25.6667,24.4,94,75,3.6,PT,1691617641
308,hobyo,5.3505,48.5268,24.66,82,86,10.36,SO,1691617733
309,christchurch,-43.5333,172.6333,5.18,73,100,5.14,NZ,1691617662
310,zhezqazghan,47.7833,67.7667,21.09,64,81,1.14,KZ,1691617734
311,ilulissat,69.2167,-51.1,12.01,43,75,1.54,GL,1691617734
312,quellon,-43.1167,-73.6167,11.14,87,100,7.72,CL,1691617734
313,zaragoza,41.6561,-0.8773,33.25,44,20,7.2,ES,1691617735
314,wickenburg,33.9686,-112.7296,39.54,24,2,6.46,US,1691617735
315,college,64.8569,-147.8028,22.89,78,75,2.06,US,1691617735
316,lihue,21.9789,-159.3672,32.58,62,75,9.77,US,1691617736
317,mil'kovo,55.6078,37.7956,18.01,69,39,3.43,RU,1691617736
318,batang,-6.4846,110.7083,23.42,81,78,2.36,ID,1691617736
319,cill airne,52.05,-9.5167,15.76,95,22,3.22,IE,1691617737
320,haiku-pauwela,20.9219,-156.3051,28.47,59,40,9.26,US,1691617737
321,isfara,40.1265,70.6253,26.43,36,0,3.1,TJ,1691617737
322,axim,4.8699,-2.2405,24.16,84,96,5.12,GH,1691617448
323,nasugbu,14.1,120.6833,26.2,89,76,1.96,PH,1691617738
324,tselinnoye,53.0833,85.6667,15.29,69,55,2.88,RU,1691617738
325,funafuti,-8.5243,179.1942,32.0,79,20,3.09,TV,1691617665
326,nouadhibou,20.931,-17.0347,21.99,88,20,8.75,MR,1691617739
327,guerrero negro,27.9769,-114.0611,27.46,59,13,8.28,MX,1691617739
328,lake albert,-35.1667,147.3833,8.67,88,69,1.73,AU,1691617740
329,jalqani,12.4486,34.2186,23.74,85,100,4.27,SD,1691617740
330,zapala,-38.8992,-70.0544,11.93,46,100,9.95,AR,1691617740
331,iskateley,67.6803,53.1512,11.37,86,30,2.85,RU,1691617741
332,pensilvania,40.2724,-76.9057,30.58,54,20,4.12,US,1691617741
333,dikhil,11.5,42.1667,30.07,44,100,3.43,DJ,1691617742
334,mukalla,14.5425,49.1242,31.07,58,47,2.12,YE,1691617742
335,portage,41.1667,-81.1998,28.23,59,93,4.13,US,1691617742
336,la gi,10.6667,107.7833,25.45,88,37,4.08,VN,1691617743
337,perryville,37.7242,-89.8612,22.92,94,100,0.0,US,1691617743
338,happy valley-goose bay,53.3168,-60.3315,18.17,77,100,3.6,CA,1691617744
339,adam,22.3756,57.5233,30.35,49,70,3.2,OM,1691617744
340,puerto ayacucho,5.6639,-67.6236,27.19,83,99,2.26,VE,1691617744
341,brandon,27.9378,-82.2859,36.7,61,0,3.09,US,1691617745
342,xai-xai,-25.0519,33.6442,18.35,77,0,3.9,MZ,1691617745
343,nelson bay,-32.7167,152.15,11.67,94,99,1.34,AU,1691617746
344,gadzhiyevo,69.2551,33.3362,18.13,75,0,2.26,RU,1691617531
345,port hedland,-20.3167,118.5667,16.03,41,2,4.12,AU,1691617682
346,changyon,38.2508,125.0961,23.51,87,100,2.26,KP,1691617747
347,rechka-vydrino,51.485,104.8461,15.19,100,100,2.33,RU,1691617747
348,palikir - national government center,6.9248,158.1611,27.16,79,96,4.93,FM,1691617748
349,lerwick,60.1545,-1.1494,11.0,71,95,9.26,GB,1691617748
350,peace river,56.2501,-117.286,18.17,94,100,2.57,CA,1691617647
351,tsiombe,-25.3,45.4833,18.8,90,5,2.91,MG,1691617749
352,blackwater,-23.5833,148.8833,15.54,67,0,2.15,AU,1691617749
353,bubaque,11.2833,-15.8333,27.19,83,80,3.45,GW,1691617750
354,kudahuvadhoo,2.6708,72.8944,27.22,78,90,5.23,MV,1691617750
355,chernyshevskiy,63.0128,112.4714,16.59,91,75,0.35,RU,1691617750
356,fortaleza,-3.7227,-38.5247,27.07,74,0,4.63,BR,1691617751
357,pariaman,-0.619,100.12,26.03,92,69,3.12,ID,1691617751
358,dalandzadgad,43.5708,104.425,23.41,53,43,2.06,MN,1691617751
359,pecan plantation,32.3604,-97.6756,43.77,22,0,6.69,US,1691617752
360,whakatane,-37.9585,176.9854,10.84,83,79,3.52,NZ,1691617752
361,nizhneangarsk,55.7833,109.55,14.4,96,100,2.88,RU,1691617752
362,viransehir,37.2353,39.7631,33.42,23,0,4.79,TR,1691617753
363,maharaganj,27.1333,83.5667,25.69,96,95,0.71,IN,1691617631
364,berdigestyakh,62.0989,126.6992,15.63,57,14,3.54,RU,1691617754
